ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard
INT_15_A;2014-01;Nord-Normandie;GRANVILLE;PARIS VAUGIRARD;165;165;0;11;93.3;14.0
INT_10_B;2014-01;Nord-Normandie;TOURS;CAEN;62;62;0;1;98.4;61.0
INT_6_A;2014-11;Atlantique Méd.;BORDEAUX ST JEAN;NANTES;68;67;1;13;80.6;4.2
INT_21_A;2014-11;Centre Sud-Ouest;ORLÉANS;PARIS AUSTERLITZ;345;344;1;88;74.4;2.9
INT_15_B;2014-11;Nord-Normandie;PARIS VAUGIRARD;GRANVILLE;158;158;0;25;84.2;5.3
INT_25_A;2014-11;Nord-Normandie;PARIS ST LAZARE;ROUEN;283;279;4;21;92.5;12.3
INT_17_A;2014-11;Nord-Normandie;LE HAVRE;PARIS ST LAZARE;342;338;4;37;89.1;8.1
INT_3_B;2014-11;Est Centre;CLERMONT FERRAND;BÉZIERS;33;30;3;1;96.7;29.0
INT_18_A;2014-11;Est Centre;LYON PART DIEU;NANTES;98;97;1;9;90.7;9.8
INT_7_A;2014-11;Nord-Normandie;BOULOGNE;PARIS NORD;154;153;1;22;85.6;6.0
INT_18_B;2014-11;Est Centre;NANTES;LYON PART DIEU;20;19;1;1;94.7;18.0
INT_23_A;2014-11;Est Centre;PARIS EST;TROYES;247;246;1;32;87.0;6.7
INT_24_A;2014-12;Nord-Normandie;PARIS ST LAZARE;TROUVILLE DEAUVILLE;79;78;1;12;84.6;5.5
INT_16_B;2014-12;Atlantique Méd.;TOULOUSE MATABIAU;HENDAYE;106;101;5;8;92.1;11.6
INT_16_B;2015-01;Atlantique Méd.;TOULOUSE MATABIAU;HENDAYE;88;88;0;5;94.3;16.6
INT_6_A;2015-01;Atlantique Méd.;BORDEAUX ST JEAN;NANTES;72;71;1;7;90.1;9.1
INT_14_A;2015-01;Est Centre;CLERMONT FERRAND;PARIS BERCY;232;232;0;23;90.1;9.1
INT_11_A;2015-01;Centre Sud-Ouest;CERBERE;PARIS AUSTERLITZ;97;97;0;9;90.7;9.8
INT_6_B;2015-01;Atlantique Méd.;NANTES;BORDEAUX ST JEAN;72;71;1;17;76.1;3.2
INT_19_B;2015-01;Nord-Normandie;PARIS NORD;MAUBEUGE;99;99;0;8;91.9;11.4
INT_13_B;2015-01;Est Centre;NÎMES;CLERMONT FERRAND;41;34;7;2;94.1;16.0
INT_20_A;2015-01;Est Centre;NEVERS;PARIS BERCY;157;156;1;11;92.9;13.2
INT_24_B;2015-02;Nord-Normandie;TROUVILLE DEAUVILLE;PARIS ST LAZARE;72;71;1;7;90.1;9.1
INT_15_B;2015-02;Nord-Normandie;PARIS VAUGIRARD;GRANVILLE;148;148;0;9;93.9;15.4
INT_17_A;2015-02;Nord-Normandie;LE HAVRE;PARIS ST LAZARE;330;326;4;41;87.4;7.0
INT_14_B;2015-02;Est Centre;PARIS BERCY;CLERMONT FERRAND;212;212;0;18;91.5;10.8
INT_4_B;2015-02;Atlantique Méd.;NICE;BORDEAUX ST JEAN;159;158;1;19;88.0;7.3
INT_19_B;2015-02;Nord-Normandie;PARIS NORD;MAUBEUGE;89;88;1;9;89.8;8.8
INT_9_A;2015-02;Nord-Normandie;CAEN;PARIS ST LAZARE;176;175;1;15;91.4;10.7
INT_5_B;2015-02;Est Centre;LIMOGES;BORDEAUX ST JEAN;29;28;1;3;89.3;8.3
INT_10_B;2015-01;Nord-Normandie;TOURS;CAEN;62;62;0;5;91.9;11.4
INT_5_A;2015-03;Est Centre;BORDEAUX ST JEAN;LIMOGES;31;31;0;0;100.0;
INT_15_A;2014-12;Nord-Normandie;GRANVILLE;PARIS VAUGIRARD;163;158;5;19;88.0;7.3
INT_22_B;2014-12;Centre Sud-Ouest;TOURS;PARIS AUSTERLITZ;124;124;0;25;79.8;4.0
INT_3_B;2014-12;Est Centre;CLERMONT FERRAND;BÉZIERS;34;31;3;2;93.5;14.5
INT_14_B;2014-12;Est Centre;PARIS BERCY;CLERMONT FERRAND;236;236;0;27;88.6;7.7
INT_13_A;2014-12;Est Centre;CLERMONT FERRAND;NÎMES;33;30;3;5;83.3;5.0
INT_1_A;2014-12;Nord-Normandie;AMIENS;PARIS NORD;223;222;1;57;74.3;2.9
INT_23_A;2014-12;Est Centre;PARIS EST;TROYES;278;275;3;36;86.9;6.6
INT_10_B;2014-12;Nord-Normandie;TOURS;CAEN;60;56;4;10;82.1;4.6
