Date,Prix,Variation 24h
2015-08-09,1 ETH = 2.56000000€,0%
2015-08-10,1 ETH = 0.65000000€,-293.85%
2015-08-11,1 ETH = 0.68670000€,5.34%
2015-08-12,1 ETH = 0.62850000€,-9.26%
2015-08-13,1 ETH = 0.95000000€,33.84%
2015-08-14,1 ETH = 1.12000000€,15.18%
2015-08-15,1 ETH = 1.62000000€,30.86%
2015-08-16,1 ETH = 1.58000000€,-2.53%
2015-08-17,1 ETH = 1.52000000€,-3.95%
2015-08-18,1 ETH = 1.33000000€,-14.29%
2015-08-19,1 ETH = 1.11000000€,-19.82%
2015-08-20,1 ETH = 1.20000000€,7.5%
2015-08-21,1 ETH = 1.16000000€,-3.45%
2015-08-22,1 ETH = 1.32000000€,12.12%
2015-08-23,1 ETH = 1.23000000€,-7.32%
2015-08-24,1 ETH = 1.20000000€,-2.5%
2015-08-25,1 ETH = 1.22000000€,1.64%
2015-08-26,1 ETH = 1.10000000€,-10.91%
2015-08-27,1 ETH = 1.04000000€,-5.77%
2015-08-28,1 ETH = 1.03000000€,-0.97%
2015-08-29,1 ETH = 1.03000000€,0%
2015-08-30,1 ETH = 1.07000000€,3.74%
2015-08-31,1 ETH = 1.06000000€,-0.94%
2015-09-01,1 ETH = 1.20000000€,11.67%
2015-09-02,1 ETH = 1.18000000€,-1.69%
2015-09-03,1 ETH = 1.24000000€,4.84%
2015-09-04,1 ETH = 1.14000000€,-8.77%
2015-09-05,1 ETH = 1.16000000€,1.72%
2015-09-06,1 ETH = 1.15000000€,-0.87%
2015-09-07,1 ETH = 1.20000000€,4.17%
2015-09-08,1 ETH = 1.17000000€,-2.56%
2015-09-09,1 ETH = 1.12000000€,-4.46%
2015-09-10,1 ETH = 1.10000000€,-1.82%
2015-09-11,1 ETH = 1.09000000€,-0.92%
2015-09-12,1 ETH = 1.05000000€,-3.81%
2015-09-13,1 ETH = 0.86250000€,-21.74%
2015-09-14,1 ETH = 0.92290000€,6.54%
2015-09-15,1 ETH = 0.83810000€,-10.12%
2015-09-16,1 ETH = 0.78420000€,-6.87%
2015-09-17,1 ETH = 0.83650000€,6.25%
2015-09-18,1 ETH = 0.80500000€,-3.91%
2015-09-19,1 ETH = 0.78890000€,-2.04%
2015-09-20,1 ETH = 0.76050000€,-3.73%
2015-09-21,1 ETH = 0.78280000€,2.85%
2015-09-22,1 ETH = 0.84660000€,7.54%
2015-09-23,1 ETH = 0.80680000€,-4.93%
2015-09-24,1 ETH = 0.81470000€,0.97%
2015-09-25,1 ETH = 0.80010000€,-1.82%
2015-09-26,1 ETH = 0.72100000€,-10.97%
2015-09-27,1 ETH = 0.65760000€,-9.64%
2015-09-28,1 ETH = 0.69560000€,5.46%
2015-09-29,1 ETH = 0.64510000€,-7.83%
2015-09-30,1 ETH = 0.51750000€,-24.66%
2015-10-01,1 ETH = 0.58940000€,12.2%
2015-10-02,1 ETH = 0.64220000€,8.22%
2015-10-03,1 ETH = 0.61240000€,-4.87%
2015-10-04,1 ETH = 0.60310000€,-1.54%
2015-10-05,1 ETH = 0.61170000€,1.41%
2015-10-06,1 ETH = 0.59430000€,-2.93%
2015-10-07,1 ETH = 0.56150000€,-5.84%
2015-10-08,1 ETH = 0.58170000€,3.47%
2015-10-09,1 ETH = 0.54540000€,-6.66%
2015-10-10,1 ETH = 0.55090000€,1%
2015-10-11,1 ETH = 0.57320000€,3.89%
2015-10-12,1 ETH = 0.55100000€,-4.03%
2015-10-13,1 ETH = 0.55640000€,0.97%
2015-10-14,1 ETH = 0.55360000€,-0.51%
2015-10-15,1 ETH = 0.52920000€,-4.61%
2015-10-16,1 ETH = 0.43070000€,-22.87%
2015-10-17,1 ETH = 0.49020000€,12.14%
2015-10-18,1 ETH = 0.46000000€,-6.57%
2015-10-19,1 ETH = 0.48000000€,4.17%
2015-10-20,1 ETH = 0.45390000€,-5.75%
2015-10-21,1 ETH = 0.43110000€,-5.29%
2015-10-22,1 ETH = 0.39020000€,-10.48%
2015-10-23,1 ETH = 0.38280000€,-1.93%
2015-10-24,1 ETH = 0.52620000€,27.25%
2015-10-25,1 ETH = 0.46430000€,-13.33%
2015-10-26,1 ETH = 0.51950000€,10.63%
2015-10-27,1 ETH = 0.55970000€,7.18%
2015-10-28,1 ETH = 0.67310000€,16.85%
2015-10-29,1 ETH = 0.77800000€,13.48%
2015-10-30,1 ETH = 0.92790000€,16.15%
2015-10-31,1 ETH = 1.06000000€,12.46%
2015-11-01,1 ETH = 0.94500000€,-12.17%
2015-11-02,1 ETH = 0.80000000€,-18.13%
2015-11-03,1 ETH = 0.97000000€,17.53%
2015-11-04,1 ETH = 0.86000000€,-12.79%
2015-11-05,1 ETH = 0.90120000€,4.57%
2015-11-06,1 ETH = 0.79030000€,-14.03%
2015-11-07,1 ETH = 0.83260000€,5.08%
2015-11-08,1 ETH = 0.82720000€,-0.65%
2015-11-09,1 ETH = 0.84680000€,2.31%
2015-11-10,1 ETH = 0.94490000€,10.38%
2015-11-11,1 ETH = 0.93780000€,-0.76%
2015-11-12,1 ETH = 0.87190000€,-7.56%
2015-11-13,1 ETH = 0.73610000€,-18.45%
2015-11-14,1 ETH = 0.82980000€,11.29%
2015-11-15,1 ETH = 0.83960000€,1.17%
2015-11-16,1 ETH = 0.82350000€,-1.96%
2015-11-17,1 ETH = 0.84670000€,2.74%
2015-11-18,1 ETH = 0.87510000€,3.25%
2015-11-19,1 ETH = 0.93630000€,6.54%
2015-11-20,1 ETH = 0.93450000€,-0.19%
2015-11-21,1 ETH = 0.88890000€,-5.13%
2015-11-22,1 ETH = 0.87380000€,-1.73%
2015-11-23,1 ETH = 0.91790000€,4.8%
2015-11-24,1 ETH = 0.91400000€,-0.43%
2015-11-25,1 ETH = 0.88940000€,-2.77%
2015-11-26,1 ETH = 0.85350000€,-4.21%
2015-11-27,1 ETH = 0.82480000€,-3.48%
2015-11-28,1 ETH = 0.83280000€,0.96%
2015-11-29,1 ETH = 0.83010000€,-0.33%
2015-11-30,1 ETH = 0.86620000€,4.17%
2015-12-01,1 ETH = 0.82510000€,-4.98%
2015-12-02,1 ETH = 0.82990000€,0.58%
2015-12-03,1 ETH = 0.82060000€,-1.13%
2015-12-04,1 ETH = 0.78030000€,-5.16%
2015-12-05,1 ETH = 0.75560000€,-3.27%
2015-12-06,1 ETH = 0.77640000€,2.68%
2015-12-07,1 ETH = 0.77700000€,0.08%
2015-12-08,1 ETH = 0.76890000€,-1.05%
2015-12-09,1 ETH = 0.73410000€,-4.74%
2015-12-10,1 ETH = 0.74720000€,1.75%
2015-12-11,1 ETH = 0.71940000€,-3.86%
2015-12-12,1 ETH = 0.77010000€,6.58%
2015-12-13,1 ETH = 0.81400000€,5.39%
2015-12-14,1 ETH = 0.88020000€,7.52%
2015-12-15,1 ETH = 0.86030000€,-2.31%
2015-12-16,1 ETH = 0.89100000€,3.45%
2015-12-17,1 ETH = 0.92000000€,3.15%
2015-12-18,1 ETH = 0.90240000€,-1.95%
2015-12-19,1 ETH = 0.86080000€,-4.83%
2015-12-20,1 ETH = 0.83330000€,-3.3%
2015-12-21,1 ETH = 0.82660000€,-0.81%
2015-12-22,1 ETH = 0.82260000€,-0.49%
2015-12-23,1 ETH = 0.81970000€,-0.35%
2015-12-24,1 ETH = 0.79600000€,-2.98%
2015-12-25,1 ETH = 0.77820000€,-2.29%
2015-12-26,1 ETH = 0.78550000€,0.93%
2015-12-27,1 ETH = 0.79020000€,0.59%
2015-12-28,1 ETH = 0.78820000€,-0.25%
2015-12-29,1 ETH = 0.78230000€,-0.75%
2015-12-30,1 ETH = 0.76890000€,-1.74%
2015-12-31,1 ETH = 0.78310000€,1.81%
2016-01-01,1 ETH = 0.84340000€,7.15%
2016-01-02,1 ETH = 0.85360000€,1.19%
2016-01-03,1 ETH = 0.85340000€,-0.02%
2016-01-04,1 ETH = 0.85880000€,0.63%
2016-01-05,1 ETH = 0.88480000€,2.94%
2016-01-06,1 ETH = 0.88300000€,-0.2%
2016-01-07,1 ETH = 0.88790000€,0.55%
2016-01-08,1 ETH = 0.87630000€,-1.32%
2016-01-09,1 ETH = 0.86860000€,-0.89%
2016-01-10,1 ETH = 0.89670000€,3.13%
2016-01-11,1 ETH = 0.90760000€,1.2%
