,days,prices_usd,volumes_usd,prices_delta,prices_delta_sign,volumes_delta,volumes_delta_sign
0,1,377.9642857142857,5670.824957142858,34.564285714285745,1,5647.969784706857,1
1,2,377.7157142857142,210.2397469377428,-0.24857142857149483,-1,-5460.585210205115,-1
2,3,377.7157142857142,0.0,0.0,0,-210.2397469377428,-1
3,4,378.0,5.67,0.28428571428577243,1,5.67,1
4,5,378.0,0.0,0.0,0,-5.67,-1
5,6,378.0,0.0,0.0,0,0.0,0
6,7,375.005,88.126175,-2.9950000000000045,-1,88.126175,1
7,8,379.25,7.585,4.2450000000000045,1,-80.54117500000001,-1
8,9,379.25,0.0,0.0,0,-7.585,-1
9,10,362.898,1143.1287000000002,-16.351999999999975,-1,1143.1287000000002,1
10,11,362.898,0.0,0.0,0,-1143.1287000000002,-1
11,12,362.898,0.0,0.0,0,0.0,0
12,13,362.898,0.0,0.0,0,0.0,0
13,14,362.898,0.0,0.0,0,0.0,0
14,15,362.898,0.0,0.0,0,0.0,0
15,16,362.898,0.0,0.0,0,0.0,0
16,17,342.5,685.0,-20.398000000000025,-1,685.0,1
17,18,342.5,0.0,0.0,0,-685.0,-1
18,19,342.5,0.0,0.0,0,0.0,0
19,20,342.5,0.0,0.0,0,0.0,0
20,21,342.5,0.0,0.0,0,0.0,0
21,22,342.5,0.0,0.0,0,0.0,0
22,23,342.5,0.0,0.0,0,0.0,0
23,24,342.5,0.0,0.0,0,0.0,0
24,25,342.5,0.0,0.0,0,0.0,0
25,26,342.5,0.0,0.0,0,0.0,0
26,27,342.5,0.0,0.0,0,0.0,0
27,28,342.5,0.0,0.0,0,0.0,0
28,29,342.5,0.0,0.0,0,0.0,0
29,30,342.5,0.0,0.0,0,0.0,0
30,31,342.5,0.0,0.0,0,0.0,0
31,32,342.5,0.0,0.0,0,0.0,0
32,33,342.5,0.0,0.0,0,0.0,0
33,34,342.5,0.0,0.0,0,0.0,0
34,35,342.5,0.0,0.0,0,0.0,0
35,36,342.5,0.0,0.0,0,0.0,0
36,37,299.980403508772,1733.8867322806789,-42.519596491228015,-1,1733.8867322806789,1
37,38,289.1173522975931,1321.266299999985,-10.863051211178913,-1,-412.6204322806939,-1
38,39,289.1173522975931,0.0,0.0,0,-1321.266299999985,-1
39,40,289.1173522975931,0.0,0.0,0,0.0,0
40,41,289.1173522975931,0.0,0.0,0,0.0,0
41,42,260.0,260.0,-29.117352297593072,-1,260.0,1
42,43,213.54333333333332,6.406299999999999,-46.45666666666668,-1,-253.5937,-1
43,44,155.34563668744445,1938.2223118869445,-58.19769664588887,-1,1931.8160118869444,1
44,45,207.54052356020952,824.9986395946393,52.19488687276507,1,-1113.2236722923053,-1
45,46,203.16003999999998,510.54118051999814,-4.380483560209541,-1,-314.4574590746411,-1
46,47,193.33333333333334,17.206666666666667,-9.826706666666638,-1,-493.3345138533315,-1
47,48,213.102,87.37182000000001,19.76866666666666,1,70.16515333333335,1
48,49,213.102,0.0,0.0,0,-87.37182000000001,-1
49,50,218.7,16.4025,5.597999999999985,1,16.4025,1
50,51,226.92154471544706,1005.8767696337109,8.221544715447067,1,989.4742696337108,1
51,52,227.85999999999999,6.835799999999999,0.9384552845529299,1,-999.0409696337109,-1
52,53,225.66666666666666,45.133559000000005,-2.193333333333328,-1,38.297759000000006,1
53,54,249.20794117647063,2082.7406501613473,23.54127450980397,1,2037.6070911613472,1
54,55,259.77882436260614,248255.16872063905,10.570883186135518,1,246172.4280704777,1
55,56,275.01680374292,1481494.2023202444,15.237979380313845,1,1233239.0335996053,1
56,57,260.2452611342513,379823.80915528117,-14.77154260866871,-1,-1101670.3931649632,-1
57,58,242.3798186686145,1523940.3135989395,-17.86544246563679,-1,1144116.5044436583,1
58,59,234.02600650618197,1431297.7300620305,-8.353812162432519,-1,-92642.58353690896,-1
59,60,232.06871500893592,1437623.097089933,-1.9572914972460467,-1,6325.36702790251,1
60,61,224.55011471698353,1258435.7668917761,-7.518600291952396,-1,-179187.33019815688,-1
61,62,223.849468988032,1564588.6017435528,-0.7006457289515424,-1,306152.8348517767,1
62,63,230.26218143918666,1800208.2963544102,6.412712451154675,1,235619.6946108574,1
63,64,233.2045200081486,2024498.141753582,2.9423385689619295,1,224289.8453991718,1
64,65,225.728651218481,1916173.6313625465,-7.475868789667601,-1,-108324.51039103558,-1
65,66,219.66632987220592,1784147.976762874,-6.06232134627507,-1,-132025.65459967242,-1
66,67,222.64119966364677,1024830.9583029288,2.9748697914408524,1,-759317.0184599452,-1
67,68,227.55572115837998,954564.3745043172,4.914521494733208,1,-70266.58379861165,-1
68,69,224.46847815786936,1109663.197311772,-3.0872430005106253,-1,155098.82280745485,1
69,70,220.6751354797573,1288936.151169086,-3.7933426781120545,-1,179272.95385731407,1
70,71,219.62299073177437,1507605.3244048667,-1.0521447479829362,-1,218669.17323578056,1
71,72,220.6889862573622,1850686.7905935647,1.065995525587823,1,343081.4661886981,1
72,73,221.91889062212974,1864418.8432737142,1.229904364767549,1,13732.052680149442,1
73,74,236.55296860301257,3601747.41055244,14.634077980882836,1,1737328.567278726,1
74,75,251.67783464112986,4172423.284730235,15.12486603811729,1,570675.8741777949,1
75,76,241.81163105022813,3792979.8031902993,-9.866203590901733,-1,-379443.4815399358,-1
76,77,235.92136821366282,2355550.342891,-5.890262836565313,-1,-1437429.460299299,-1
77,78,242.33395917420424,4537698.884594979,6.412590960541422,1,2182148.5417039786,1
78,79,238.37432680577743,2683846.3536952264,-3.95963236842681,-1,-1853852.5308997524,-1
79,80,240.51377859778847,2407405.9395766915,2.1394517920110445,1,-276440.4141185349,-1
80,81,245.25719180301255,2542888.9544601263,4.743413205224073,1,135483.01488343487,1
81,82,245.76272131942983,1474100.4837748378,0.5055295164172833,1,-1068788.4706852885,-1
82,83,238.90412211126997,2017605.0524880807,-6.858599208159859,-1,543504.5687132429,1
83,84,238.11132359607134,2512716.661874295,-0.7927985151986263,-1,495111.6093862145,1
84,85,239.32563847259516,2057757.4331590226,1.2143148765238152,1,-454959.2287152726,-1
85,86,237.9929554193091,2071293.2167831394,-1.332683053286047,-1,13535.783624116797,1
86,87,240.65153974855608,3272323.6940821353,2.6585843292469633,1,1201030.477298996,1
87,88,253.8501664205189,3910220.5463047456,13.198626671962813,1,637896.8522226103,1
88,89,254.0130763615939,1625490.1468189317,0.16290994107501433,1,-2284730.399485814,-1
89,90,254.73652913717945,3076005.4552892824,0.7234527755855424,1,1450515.3084703507,1
90,91,269.54691849970294,5218243.7444456145,14.810389362523495,1,2142238.289156332,1
91,92,278.7085121634076,5147985.028407158,9.16159366370465,1,-70258.71603845619,-1
92,93,277.3001300309606,3602261.3676197845,-1.4083821324470023,-1,-1545723.6607873738,-1
93,94,272.6416373084384,3271006.206301445,-4.658492722522169,-1,-331255.1613183394,-1
94,95,273.0551948221768,2527702.3026243816,0.41355751373839666,1,-743303.9036770635,-1
95,96,276.0814673989593,1681171.7144025038,3.026272576782503,1,-846530.5882218778,-1
96,97,275.77263309260576,1704538.963356053,-0.30883430635356035,-1,23367.24895354919,1
97,98,288.3316952696632,4677945.002423059,12.559062177057456,1,2973406.039067006,1
98,99,294.9060062521698,4296775.068907488,6.574310982506574,1,-381169.93351557106,-1
99,100,295.1584591644032,2691010.3751301356,0.2524529122334229,1,-1605764.6937773526,-1
100,101,295.4131067658435,2724580.548301282,0.25464760144029697,1,33570.17317114631,1
101,102,288.7393838539767,3618668.218722773,-6.673722911866832,-1,894087.6704214909,1
102,103,285.3543750784314,1663947.6589337257,-3.385008775545259,-1,-1954720.559789047,-1
103,104,289.0177039120461,1741547.7176650632,3.6633288336146848,1,77600.05873133754,1
104,105,292.767005355937,2327491.3359639547,3.749301443890886,1,585943.6182988915,1
105,106,288.45188783610655,2264568.432348539,-4.315117519830437,-1,-62922.90361541556,-1
106,107,266.0090083803245,5765762.138692348,-22.442879455782077,-1,3501193.706343809,1
107,108,261.70876365118414,3459077.6498103067,-4.300244729140331,-1,-2306684.4888820415,-1
108,109,262.7653135313537,1897378.9869630765,1.0565498801695412,1,-1561698.6628472302,-1
109,110,260.9887304594965,1507907.1441049296,-1.7765830718572033,-1,-389471.8428581469,-1
110,111,266.3043137676522,1633784.7702908355,5.3155833081557375,1,125877.62618590589,1
111,112,267.96292211504044,3650717.429230661,1.658608347388224,1,2016932.6589398256,1
112,113,250.76473929267348,4605210.623980941,-17.19818282236696,-1,954493.1947502801,1
113,114,245.41828675136102,2766750.75638256,-5.346452541312459,-1,-1838459.8675983814,-1
114,115,250.53752920235902,2967659.748011457,5.1192424509980015,1,200908.9916288969,1
115,116,249.2930988254854,2046719.4259905252,-1.2444303768736233,-1,-920940.3220209316,-1
116,117,252.28596521739158,1379997.6490868712,2.992866391906176,1,-666721.776903654,-1
117,118,244.45725309189876,2569334.265949576,-7.828712125492814,-1,1189336.616862705,1
118,119,247.74816929133672,2277449.625388317,3.2909161994379588,1,-291884.64056125935,-1
119,120,245.59101882516418,2000650.9771600508,-2.1571504661725385,-1,-276798.64822826604,-1
120,121,245.5641425296939,2398826.5468374337,-0.026876295470287914,-1,398175.56967738294,1
121,122,251.3255545809744,2153239.2231804337,5.761412051280502,1,-245587.32365699997,-1
122,123,255.2130586899426,1746314.6277941235,3.8875041089682156,1,-406924.59538631025,-1
123,124,253.57894583333245,1068707.0204731596,-1.6341128566101588,-1,-677607.6073209639,-1
124,125,258.7519289167856,1501967.0877693407,5.1729830834531185,1,433260.0672961811,1
125,126,257.6111258809899,1993247.2055742745,-1.1408030357956704,-1,491280.1178049338,1
126,127,255.65205571565784,1916209.4070224848,-1.959070165332065,-1,-77037.79855178972,-1
127,128,247.61994200743922,1911081.031644566,-8.032113708218617,-1,-5128.375377918826,-1
128,129,244.3227730616895,1772955.2157516526,-3.2971689457497178,-1,-138125.81589291338,-1
129,130,237.33211788345514,2744389.6990985093,-6.990655178234363,-1,971434.4833468567,1
130,131,237.4900960779149,1355777.3056203087,0.15797819445975847,1,-1388612.3934782005,-1
131,132,237.43179025423757,1075818.775931949,-0.05830582367732973,-1,-279958.5296883597,-1
132,133,228.8762624983326,2806171.7307284037,-8.555527755904961,-1,1730352.9547964546,1
133,134,220.85728622155008,2781004.205898387,-8.018976276782524,-1,-25167.524830016773,-1
134,135,222.7974974163312,1837966.1527315865,1.9402111947811136,1,-943038.0531668004,-1
135,136,228.6027974339048,1797197.6317561036,5.8053000175736145,1,-40768.52097548288,-1
136,137,223.91587812531685,1542012.4944046934,-4.68691930858796,-1,-255185.13735141023,-1
137,138,223.37960875460362,865895.0945120784,-0.536269370713228,-1,-676117.3998926149,-1
138,139,224.64385802469332,1152381.3621203674,1.2642492700896923,1,286486.2676082889,1
139,140,225.48794904691925,1819490.958205832,0.844091022225939,1,667109.5960854646,1
140,141,229.86008090101816,2239816.258806332,4.37213185409891,1,420325.3006005001,1
141,142,235.80547527009503,1523495.7787406803,5.945394369076865,1,-716320.4800656517,-1
142,143,234.90678343678383,1694853.3290111308,-0.8986918333112044,-1,171357.55027045053,1
143,144,231.879855772749,1477082.0712370882,-3.0269276640348153,-1,-217771.25777404266,-1
144,145,226.80746486745267,1418585.2854736908,-5.072390905296345,-1,-58496.78576339735,-1
145,146,219.39381307960556,1813082.8027799411,-7.413651787847101,-1,394497.5173062503,1
146,147,223.92246471048568,2636777.591307569,4.52865163088012,1,823694.7885276277,1
147,148,224.88641453916014,1496299.9261423263,0.9639498286744583,1,-1140477.6651652425,-1
148,149,225.11235908778713,1612327.4340594932,0.225944548626984,1,116027.50791716692,1
149,150,234.95225116193325,2666324.1071062447,9.839892074146121,1,1053996.6730467514,1
150,151,235.30634185689524,2476663.7844155147,0.35409069496199663,1,-189660.32269072998,-1
151,152,235.73761524729397,1200298.7854104817,0.43127339039872936,1,-1276364.999005033,-1
152,153,240.61642509505782,1538436.2172756568,4.878809847763847,1,338137.431865175,1
153,154,240.18549672894136,2155950.613085573,-0.43092836611646135,-1,617514.3958099163,1
154,155,235.44925851828978,2069819.6630890784,-4.736238210651578,-1,-86130.94999649469,-1
155,156,233.04875054838587,1918758.1557947656,-2.400507969903913,-1,-151061.50729431282,-1
156,157,235.024906670236,1844759.185742237,1.9761561218501242,1,-73998.97005252866,-1
157,158,242.812123849787,2108480.321043592,7.787217179551021,1,263721.13530135504,1
158,159,242.91486740428712,1416203.1032031632,0.1027435545001083,1,-692277.2178404287,-1
159,160,242.01522057031488,972962.9123019715,-0.8996468339722412,-1,-443240.1909011918,-1
160,161,242.45978897073445,1566882.5984226412,0.4445684004195698,1,593919.6861206697,1
161,162,242.3363753476791,1545518.8869559553,-0.12341362305534176,-1,-21363.71146668587,-1
162,163,240.81017948717587,2458295.0851406287,-1.5261958605032362,-1,912776.1981846734,1
163,164,237.35276266381103,2300585.980474605,-3.457416823364838,-1,-157709.10466602352,-1
164,165,237.86210995920834,2237868.46974053,0.5093472953973048,1,-62717.510734075215,-1
165,166,237.27132231404696,469067.313401211,-0.5907876451613845,-1,-1768801.156339319,-1
166,167,237.37260110099191,1289045.529169401,0.10127878694495962,1,819978.2157681899,1
167,168,235.58369710134198,1683684.6465945959,-1.788903999649932,-1,394639.11742519494,1
168,169,233.2537040758659,1761045.0171857977,-2.3299930254760852,-1,77360.37059120182,1
169,170,234.22487242501325,1490036.4907862146,0.971168349147348,1,-271008.5263995831,-1
170,171,235.87012792890073,1439504.5209915037,1.6452555038874834,1,-50531.969794710865,-1
171,172,239.12434725522021,1906534.5062507847,3.254219326319486,1,467029.985259281,1
172,173,239.7195015426144,813502.970902441,0.5951542873941946,1,-1093031.5353483437,-1
173,174,240.42369758576513,825915.1381028198,0.7041960431507164,1,12412.16720037884,1
174,175,237.94991444451983,1021856.21683426,-2.473783141245292,-1,195941.07873144024,1
175,176,237.59731511102402,1583194.32199993,-0.3525993334958173,-1,561338.10516567,1
176,177,237.47996986747526,1445218.8370729452,-0.11734524354875475,-1,-137975.48492698488,-1
177,178,237.2282727966222,1514732.4271854588,-0.25169707085305504,-1,69513.59011251363,1
178,179,236.71953697141896,1400575.4677490352,-0.5087358252032459,-1,-114156.95943642361,-1
179,180,233.3147059661094,1447360.7985389405,-3.4048310053095747,-1,46785.330789905274,1
180,181,231.8335542451772,1551048.3133230016,-1.4811517209321892,-1,103687.51478406112,1
181,182,225.29078764075956,2404083.062599217,-6.542766604417636,-1,853034.7492762154,1
182,183,225.05220336179215,1930000.9069894068,-0.23858427896740864,-1,-474082.15560981026,-1
183,184,225.80524000587164,1485819.0243634358,0.7530366440794865,1,-444181.882625971,-1
184,185,225.04399891518452,1293988.1105811344,-0.7612410906871219,-1,-191830.91378230136,-1
185,186,225.1261590445676,1438558.2659364867,0.08216012938308381,1,144570.1553553522,1
186,187,225.165806899285,766341.63774225,0.03964785471740129,1,-672216.6281942367,-1
187,188,224.2600455880833,836876.50787183,-0.9057613112017009,-1,70534.87012958003,1
188,189,227.9234936738375,1702809.298247564,3.6634480857541973,1,865932.7903757339,1
189,190,230.1984086718468,1380750.8806307889,2.274914998009308,1,-322058.417616775,-1
190,191,229.0915058652907,1384330.6003579327,-1.1069028065560929,-1,3579.719727143878,1
191,192,229.70538147034495,1401412.826164916,0.6138756050542327,1,17082.225806983188,1
192,193,230.05361211315682,1219576.287802483,0.34823064281187044,1,-181836.53836243297,-1
193,194,232.01968553458946,974837.3932584053,1.9660734214326396,1,-244738.8945440777,-1
194,195,234.20924124256234,526388.9092129259,2.189555707972886,1,-448448.48404547933,-1
195,196,236.6190946678827,1538634.700556165,2.409853425320364,1,1012245.7913432391,1
196,197,245.99240091576377,2727550.5441103447,9.373306247881061,1,1188915.8435541796,1
197,198,251.77226174324255,2486731.9572270107,5.779860827478785,1,-240818.58688333398,-1
198,199,249.4982215140309,1858213.5752820303,-2.274040229211664,-1,-628518.3819449805,-1
199,200,247.68811705114734,1464087.245531096,-1.8101044628835439,-1,-394126.3297509344,-1
200,201,244.32657355372055,1037123.5194192049,-3.361543497426794,-1,-426963.726111891,-1
201,202,244.42352681920084,933283.8593834464,0.0969532654802947,1,-103839.66003575851,-1
202,203,246.71524979089244,1397391.3251152923,2.2917229716915983,1,464107.46573184594,1
203,204,244.62253035090728,1292605.387905452,-2.09271943998516,-1,-104785.9372098404,-1
204,205,241.65669583215802,1283982.9254377643,-2.9658345187492614,-1,-8622.46246768767,-1
205,206,242.24892867132877,1436349.5319420726,0.5922328391707481,1,152366.6065043083,1
206,207,242.03561062116614,1472472.8401612283,-0.21331805016262706,-1,36123.30821915576,1
207,208,248.56660663905723,1354963.7151868076,6.530996017891084,1,-117509.12497442076,-1
208,209,249.96285162624017,1178880.7746695161,1.3962449871829392,1,-176082.94051729143,-1
209,210,255.68830297069837,3022640.0251087947,5.725451344458207,1,1843759.2504392785,1
210,211,264.17925718270374,2877663.4485241114,8.490954212005363,1,-144976.57658468327,-1
211,212,259.0235567077987,2109264.270627534,-5.155700474905018,-1,-768399.1778965774,-1
212,213,256.45023037367065,1410166.6016479938,-2.573326334128069,-1,-699097.6689795402,-1
213,214,255.74240690396604,1228861.6817945912,-0.7078234697046071,-1,-181304.91985340253,-1
214,215,257.8309391169377,1039987.2429773926,2.0885322129716712,1,-188874.43881719862,-1
215,216,267.6858230152926,2467157.062209369,9.854883898354899,1,1427169.8192319765,1
216,217,272.47015338632997,2732161.2284698435,4.784330371037356,1,265004.16626047436,1
217,218,267.33616840547273,1774528.2330311183,-5.133984980857235,-1,-957632.9954387252,-1
218,219,270.0978969215939,2245234.5687265606,2.7617285161211385,1,470706.3356954423,1
219,220,270.49256583897363,1757163.7191218445,0.39466891737976084,1,-488070.84960471606,-1
220,221,286.14605914367667,4689298.574297319,15.653493304703034,1,2932134.8551754747,1
221,222,295.45582010416064,2968249.359342543,9.30976096048397,1,-1721049.2149547762,-1
222,223,308.806484946313,3518270.101733759,13.350664842152355,1,550020.7423912161,1
223,224,291.1811737279529,3744985.075552399,-17.625311218360082,-1,226714.97381863976,1
224,225,291.0549493790213,1882419.4475191364,-0.12622434893160062,-1,-1862565.6280332624,-1
225,226,290.64441923329247,2347713.9622671194,-0.41053014572884194,-1,465294.5147479831,1
226,227,280.07335970958906,2315661.258959168,-10.571059523703411,-1,-32052.703307951335,-1
227,228,278.36158135236747,1872087.761002897,-1.7117783572215899,-1,-443573.49795627105,-1
228,229,278.60697891217734,1109283.7598946763,0.24539755980987366,1,-762804.0011082208,-1
229,230,276.17332102687305,1115252.8288456427,-2.433657885304285,-1,5969.068950966466,1
230,231,278.54996718695133,1547956.130594414,2.3766461600782804,1,432703.3017487712,1
231,232,278.91017196905034,1298926.257761146,0.36020478209900375,1,-249029.87283326802,-1
232,233,277.4002900199096,1341191.1799119757,-1.5098819491407198,-1,42264.92215082981,1
233,234,277.37239933008124,1417553.723326261,-0.027890689828382165,-1,76362.54341428517,1
234,235,286.4406985797034,2211055.035963116,9.068299249622157,1,793501.3126368553,1
235,236,289.37487835153354,967926.5605215916,2.934179771830145,1,-1243128.4754415248,-1
