,hours,prices_usd,volumes_usd,prices_delta,prices_delta_sign,volumes_delta,volumes_delta_sign
0,1,370.0,9.8255498,46.666666666666686,1,0.12554979999999993,1
1,2,370.0,0.0,0.0,0,-9.8255498,-1
2,3,370.0,0.0,0.0,0,0.0,0
3,4,370.0,0.0,0.0,0,0.0,0
4,5,370.0,0.0,0.0,0,0.0,0
5,6,370.0,0.0,0.0,0,0.0,0
6,7,370.0,0.0,0.0,0,0.0,0
7,8,370.0,0.0,0.0,0,0.0,0
8,9,370.0,0.0,0.0,0,0.0,0
9,10,370.0,0.0,0.0,0,0.0,0
10,11,370.0,0.0,0.0,0,0.0,0
11,12,370.0,0.0,0.0,0,0.0,0
12,13,370.0,0.0,0.0,0,0.0,0
13,14,370.0,0.0,0.0,0,0.0,0
14,15,370.0,0.0,0.0,0,0.0,0
15,16,370.0,0.0,0.0,0,0.0,0
16,17,370.0,0.0,0.0,0,0.0,0
17,18,370.0,0.0,0.0,0,0.0,0
18,19,370.0,0.0,0.0,0,0.0,0
19,20,370.0,0.0,0.0,0,0.0,0
20,21,370.0,0.0,0.0,0,0.0,0
21,22,370.0,0.0,0.0,0,0.0,0
22,23,377.0,3.77,7.0,1,3.77,1
23,24,377.0,0.0,0.0,0,-3.77,-1
24,25,377.0,0.0,0.0,0,0.0,0
25,26,377.0,0.0,0.0,0,0.0,0
26,27,377.0,0.0,0.0,0,0.0,0
27,28,377.0,0.0,0.0,0,0.0,0
28,29,377.9375,5328.918750000001,0.9375,1,5328.918750000001,1
29,30,377.9375,0.0,0.0,0,-5328.918750000001,-1
30,31,377.9375,0.0,0.0,0,0.0,0
31,32,377.9375,0.0,0.0,0,0.0,0
32,33,377.9375,0.0,0.0,0,0.0,0
33,34,377.9375,0.0,0.0,0,0.0,0
34,35,377.9375,0.0,0.0,0,0.0,0
35,36,377.9375,0.0,0.0,0,0.0,0
36,37,378.0,337.7808,0.0625,1,337.7808,1
37,38,378.0,3.7800000000000002,0.0,0,-334.0008,-1
38,39,378.0,0.0,0.0,0,-3.7800000000000002,-1
39,40,378.0,0.0,0.0,0,0.0,0
40,41,378.0,0.0,0.0,0,0.0,0
41,42,378.0,0.0,0.0,0,0.0,0
42,43,378.0,0.0,0.0,0,0.0,0
43,44,378.0,0.0,0.0,0,0.0,0
44,45,378.0,0.0,0.0,0,0.0,0
45,46,378.0,0.0,0.0,0,0.0,0
46,47,378.0,0.0,0.0,0,0.0,0
47,48,377.9666666666667,32.735095812666664,-0.03333333333330302,-1,32.735095812666664,1
48,49,377.9666666666667,0.0,0.0,0,-32.735095812666664,-1
49,50,377.9666666666667,0.0,0.0,0,0.0,0
50,51,377.9666666666667,0.0,0.0,0,0.0,0
51,52,377.9666666666667,0.0,0.0,0,0.0,0
52,53,377.9666666666667,0.0,0.0,0,0.0,0
53,54,377.9666666666667,0.0,0.0,0,0.0,0
54,55,377.9666666666667,0.0,0.0,0,0.0,0
55,56,377.9666666666667,0.0,0.0,0,0.0,0
56,57,377.9666666666667,0.0,0.0,0,0.0,0
57,58,377.9666666666667,0.0,0.0,0,0.0,0
58,59,377.9666666666667,0.0,0.0,0,0.0,0
59,60,378.0,132.29999999999998,0.03333333333330302,1,132.29999999999998,1
60,61,378.0,0.0,0.0,0,-132.29999999999998,-1
61,62,377.01,37.701,-0.9900000000000091,-1,37.701,1
62,63,377.01,0.0,0.0,0,-37.701,-1
63,64,377.01,0.0,0.0,0,0.0,0
64,65,378.0,3.7800000000000002,0.9900000000000091,1,3.7800000000000002,1
65,66,378.0,0.0,0.0,0,-3.7800000000000002,-1
66,67,378.0,0.0,0.0,0,0.0,0
67,68,377.1,3.7710000000000004,-0.8999999999999773,-1,3.7710000000000004,1
68,69,377.1,0.0,0.0,0,-3.7710000000000004,-1
69,70,377.1,0.0,0.0,0,0.0,0
70,71,377.1,0.0,0.0,0,0.0,0
71,72,377.1,0.0,0.0,0,0.0,0
72,73,377.1,0.0,0.0,0,0.0,0
73,74,377.1,0.0,0.0,0,0.0,0
74,75,377.1,0.0,0.0,0,0.0,0
75,76,377.1,0.0,0.0,0,0.0,0
76,77,377.1,0.0,0.0,0,0.0,0
77,78,377.1,0.0,0.0,0,0.0,0
78,79,377.1,0.0,0.0,0,0.0,0
79,80,377.1,0.0,0.0,0,0.0,0
80,81,377.1,0.0,0.0,0,0.0,0
81,82,377.1,0.0,0.0,0,0.0,0
82,83,377.1,0.0,0.0,0,0.0,0
83,84,377.1,0.0,0.0,0,0.0,0
84,85,377.1,0.0,0.0,0,0.0,0
85,86,377.1,0.0,0.0,0,0.0,0
86,87,377.1,0.0,0.0,0,0.0,0
87,88,377.1,0.0,0.0,0,0.0,0
88,89,377.1,0.0,0.0,0,0.0,0
89,90,377.1,0.0,0.0,0,0.0,0
90,91,377.1,0.0,0.0,0,0.0,0
91,92,377.1,0.0,0.0,0,0.0,0
92,93,377.1,0.0,0.0,0,0.0,0
93,94,377.1,0.0,0.0,0,0.0,0
94,95,377.1,0.0,0.0,0,0.0,0
95,96,377.1,0.0,0.0,0,0.0,0
96,97,377.1,0.0,0.0,0,0.0,0
97,98,377.1,0.0,0.0,0,0.0,0
98,99,377.1,0.0,0.0,0,0.0,0
99,100,377.1,0.0,0.0,0,0.0,0
100,101,377.1,0.0,0.0,0,0.0,0
101,102,377.1,0.0,0.0,0,0.0,0
102,103,377.1,0.0,0.0,0,0.0,0
103,104,377.1,0.0,0.0,0,0.0,0
104,105,377.1,0.0,0.0,0,0.0,0
105,106,377.1,0.0,0.0,0,0.0,0
106,107,377.1,0.0,0.0,0,0.0,0
107,108,377.1,0.0,0.0,0,0.0,0
108,109,377.1,0.0,0.0,0,0.0,0
109,110,377.1,0.0,0.0,0,0.0,0
110,111,377.1,0.0,0.0,0,0.0,0
111,112,377.1,0.0,0.0,0,0.0,0
112,113,377.1,0.0,0.0,0,0.0,0
113,114,377.1,0.0,0.0,0,0.0,0
114,115,377.1,0.0,0.0,0,0.0,0
115,116,378.0,5.67,0.8999999999999773,1,5.67,1
116,117,378.0,0.0,0.0,0,-5.67,-1
117,118,378.0,0.0,0.0,0,0.0,0
118,119,378.0,0.0,0.0,0,0.0,0
119,120,378.0,0.0,0.0,0,0.0,0
120,121,378.0,0.0,0.0,0,0.0,0
121,122,378.0,0.0,0.0,0,0.0,0
122,123,378.0,0.0,0.0,0,0.0,0
123,124,378.0,0.0,0.0,0,0.0,0
124,125,378.0,0.0,0.0,0,0.0,0
125,126,378.0,0.0,0.0,0,0.0,0
126,127,378.0,0.0,0.0,0,0.0,0
127,128,378.0,0.0,0.0,0,0.0,0
128,129,378.0,0.0,0.0,0,0.0,0
