JOUR;CODE_STIF_TRNS;CODE_STIF_RES;CODE_STIF_LIGNE;LIBELLE_LIGNE;ID_GROUPOFLINES;CATEGORIE_TITRE;NB_VALD
2017-05-22;6;6;10;ORSAY (Gare RER)  - IGNY (Gare RER);A01712;AUTRE TITRE;Moins de 5
2017-05-22;6;6;14;PALAISEAU (Ecole Polytechnique)  - MASSY (Gare RER B de Massy Palaiseau);A01713;AMETHYSTE;13
2017-05-22;6;6;14;PALAISEAU (Ecole Polytechnique)  - MASSY (Gare RER B de Massy Palaiseau);A01713;AUTRE TITRE;Moins de 5
2017-05-22;6;6;14;PALAISEAU (Ecole Polytechnique)  - MASSY (Gare RER B de Massy Palaiseau);A01713;FGT;28
2017-05-22;6;6;14;PALAISEAU (Ecole Polytechnique)  - MASSY (Gare RER B de Massy Palaiseau);A01713;NAVIGO;249
2017-05-22;6;6;15;MASSY (Gare de Massy Palaiseau C)  - VELIZY-VILLACOUBLAY (Centre commercial Vélizy 2);A00072;TST;84
2017-05-22;6;6;16;IGNY (Gare RER)  - SACLAY (Razel);A01714;NAVIGO;8
2017-05-22;6;6;19;PALAISEAU (GARE DE LOZERE)  - PALAISEAU (PALAISEAU-VILLEBON RER);A00069;FGT;21
2017-05-22;6;6;4;BURES-SUR-YVETTE (Gare)  - LES ULIS (Centre Commercial);A00065;AMETHYSTE;18
2017-05-22;6;6;4;BURES-SUR-YVETTE (Gare)  - LES ULIS (Centre Commercial);A00065;IMAGINE R;433
2017-05-22;6;6;8;ORSAY (Bois-Persan)  - PALAISEAU (Couturier);A00068;AMETHYSTE;6
2017-05-22;10;10;15;EPINAY-SUR-ORGE (GARE RER)  - EPINAY-SUR-ORGE (GARE RER);A00084;AMETHYSTE;Moins de 5
2017-05-22;10;10;28;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02132;AMETHYSTE;Moins de 5
2017-05-22;10;10;28;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02132;FGT;17
2017-05-22;10;10;28;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02132;IMAGINE R;58
2017-05-22;10;10;29;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02133;AMETHYSTE;Moins de 5
2017-05-22;10;10;29;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02133;AUTRE TITRE;Moins de 5
2017-05-22;10;10;29;EPINAY-SUR-ORGE (Gare SNCF)  - EPINAY-SUR-ORGE (Gare SNCF);A02133;FGT;Moins de 5
2017-05-20;100;987;760;PARIS-1 (Châtelet)  - CHILLY-MAZARIN (Place de la Libération);A01252;TST;17
2017-05-20;400;400;402;LE COUDRAY-MONTCEAUX (Terminal D. Douillet)  - EPINAY-SUR-ORGE (Gare RER);A01467;AMETHYSTE;911
2017-05-20;400;400;402;LE COUDRAY-MONTCEAUX (Terminal D. Douillet)  - EPINAY-SUR-ORGE (Gare RER);A01467;IMAGINE R;3142
2017-05-21;39;39;8;GIF-SUR-YVETTE - LES ULIS;A00429;AMETHYSTE;12
2017-05-18;100;100;196;MASSY (Massy-Palaiseau R.E.R.)  - VERRIERES-LE-BUISSON - ANTONY (R.E.R.);A01074;FGT;266
2017-05-18;100;100;196;MASSY (Massy-Palaiseau R.E.R.)  - VERRIERES-LE-BUISSON - ANTONY (R.E.R.);A01074;NAVIGO;3597
2017-05-18;100;100;199;MASSY (Gare R.E.R. de Massy-Palaiseau)  - LONGJUMEAU (La Rocade - Lycée);A01076;FGT;260
2017-05-18;100;100;199;MASSY (Gare R.E.R. de Massy-Palaiseau)  - LONGJUMEAU (La Rocade - Lycée);A01076;NAVIGO;2703
2017-05-18;100;100;294;CHATILLON (Châtillon-Montrouge métro)  - IGNY (R.E.R.);A01128;IMAGINE R;791
2017-05-18;100;100;294;CHATILLON (Châtillon-Montrouge métro)  - IGNY (R.E.R.);A01128;NAVIGO;1103
2017-05-18;100;100;294;CHATILLON (Châtillon-Montrouge métro)  - IGNY (R.E.R.);A01128;TST;99
2017-05-18;100;100;297;PARIS-14 (Porte d'Orléans métro)  - ANTONY - LONGJUMEAU (Place Steber);A01130;AUTRE TITRE;28
2017-05-18;100;100;299;PARIS-14 (Porte d'Orléans métro)  - CHILLY-MAZARIN - MORANGIS (Place Lucien Boileau);A01131;AMETHYSTE;30
2017-05-18;100;100;299;PARIS-14 (Porte d'Orléans métro)  - CHILLY-MAZARIN - MORANGIS (Place Lucien Boileau);A01131;AUTRE TITRE;15
